D_REG,BRAND,MODEL,MAKE_YEAR,COLOR,FUEL,N_REG_NEW
31.03.2021,LEXUS,GX 460,2011,БІЛИЙ,БЕНЗИН,АА4789РВ
19.03.2021,LEXUS,RX 350,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АА3737ХК
18.02.2021,LEXUS,RX 350,2012,БІЛИЙ,БЕНЗИН,АА7007РО
25.02.2021,LEXUS,LX 470,2006,БІЛИЙ,БЕНЗИН АБО ГАЗ,КА5161СР
31.03.2021,LEXUS,ES 350,2010,БІЛИЙ,БЕНЗИН,ВН1553МР
04.01.2021,LEXUS,RX 350,2012,БІЛИЙ,БЕНЗИН,АІ4632СО
04.01.2021,LEXUS,RX 350,2012,БІЛИЙ,БЕНЗИН,АІ4632СО
17.02.2021,LEXUS,LX 570,2010,БІЛИЙ,БЕНЗИН АБО ГАЗ,АТ0040СТ
19.03.2021,LEXUS,LX 570,2012,БІЛИЙ,БЕНЗИН,КА0050НМ
02.03.2021,LEXUS,LX 570,2012,БІЛИЙ,БЕНЗИН,СВ0472ЕВ
20.03.2021,LEXUS,RX 350,2012,БІЛИЙ,БЕНЗИН,АЕ2815ОХ
24.03.2021,LEXUS,RX 350,2012,БІЛИЙ,БЕНЗИН,АЕ8311ОХ
23.01.2021,LEXUS,GX 460,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АХ8588СН
